V
0,527964.231513,10547578.886232 2,17216,100297
2,524974.728556,10548729.823273 0,471,47281
3,196837.263213,10724069.208212 13,34757
13,199919.789909,10737934.335361 2608,3,16990
14,206641.846602,10096286.449582 16,66843
16,206325.139922,10093554.421922 46649,43402
17,-43774.988695,10649283.769813 19,131927,247850,66695
19,-46756.792924,10649223.671682 17,6300,131810
20,-569208.961800,11133454.972680 8808,49814,37,25422
37,-578445.398357,11158764.665368 21153,93318,20
38,347537.157245,10450061.003999 18666,43,220359
43,356719.919325,10450097.977051 669,134177,38
44,-105553.203370,11864330.427029 166339,44540,58
58,-112339.387454,11874032.400893 5397,75982,40574
59,86710.585721,10558076.650916 54577,69
69,101248.835167,10543113.265622 109863,59,164194
70,-357401.947150,11405152.477236 55154,72,16281
72,-359611.411160,11405151.757390 70,72040,132666
73,-89725.254007,12007682.228202 76,38397
76,-89200.101291,12011248.622086 73,95572,107499
77,135462.974969,10732179.565231 39258,24967,86
86,130836.476290,10730617.733094 103482,24965,77
87,71940.743726,11272427.186594 69442,97,17990
97,73327.861467,11261923.212354 109755,240913,87
98,73183.865195,9711252.743235 53937,198496,112
112,76233.386242,9701310.191719 11683,198496,98
113,-59318.984098,11119556.733822 54088,115
115,-65395.228173,11125813.390454 113
116,600651.265598,10650216.259531 60687,13788,132153,141
141,601986.557729,10666157.876499 39406,132154,116
142,-164966.245301,10864425.261662 81969,146,29518
146,-168366.442610,10864423.997678 92870,29518,208080
147,-234381.031050,10541138.053398 70938,151,33303
151,-242729.625454,10541019.238867 118062,27096,147,1453,27109
152,244028.726587,9866705.121133 27923,127954,163
163,253018.523546,9849774.439168 210780,152,69872
164,102589.106879,9842220.773504 239647,170,95489
170,105565.869729,9842221.632101 164,172440,51466
171,159784.250858,11528083.874639 174,153073,101239
174,156799.431868,11534781.763338 25973,171,153073
175,-392743.047088,11651480.211448 11216,123841,188
188,-396625.320173,11652541.175632 62054,27700,175
189,181027.944592,10659637.493830 192,190144,3261
192,181061.531277,10665650.024278 97320,171290
193,-600.568182,11757533.743809 194,93489,42609,165778
194,-3317.939223,11757525.409305 193,42182,165778
195,19076.282921,10769459.090682 196,10886,85997
196,19096.537633,10779177.492166 195,44848,85997,36620
197,-2098.095509,11639520.005733 200,44747
200,-4664.564742,11643173.329956 7979,197,22355,60391
201,437237.626830,10799202.514680 72638,213,50078
213,440942.117546,10807809.942892 3479,201,113570
214,144147.504395,11692840.875088 217,11424,137035
217,147191.055169,11691006.997167 214,148814,13008
218,196766.571772,11287481.883199 220,21179,241071,3383
220,200457.896797,11288012.607186 218,49549,86476
221,-101433.868863,12018667.043022 137354,226,39944,44399
226,-108537.489744,12018695.549096 221,38466,97376
227,326038.723813,10299241.219790 232,83015
232,331304.060129,10293572.556300 29651,227,167676
233,-95413.281285,10702478.892228 84042,115518,239
239,-102032.121261,10702429.068911 58955,75731
240,-318093.477834,12035646.806519 50155,72071,67019,246,78565
246,-330138.673095,12035551.113254 131000,43897,82661,240
247,19067.109305,10389121.956440 86911,79429,254,148140,65659
254,25336.350993,10389615.721285 66294
255,280626.021306,11286711.118944 35247,48617,269,20573,99378
269,295341.179019,11308042.547782 78470,67663,137360,255
270,51436.241852,11065009.430368 273,48828,45921
273,54529.343786,11065011.284318 270,20550,34164,65621
274,-209360.817885,10822501.705953 277,33722,44539
277,-207798.640107,10827260.087313 274,122866,67213
278,-418605.931953,11912533.150083 8177,56417,280,75580
280,-432097.369830,11912563.825613 278,62244,84649
281,-309053.562695,12117557.073932 44204,286,30293
286,-302810.992599,12134285.073927 281,44223,36323
287,-102358.618271,11401794.617772 70438,290,8820
290,-99876.767505,11412107.110915 46397,287,8825
291,-149883.426852,11566073.725389 293,136098,16380,13967
293,-149434.749180,11574358.679041 52963,291,45846
294,-7992.624391,11465215.869980 30249,63132,315,165616
315,-10342.924015,11466846.440489 26741,76668,294
316,-412948.332613,10923746.979635 318,39228,21598
318,-415586.037372,10923059.099702 316
319,381123.943790,10149477.782739 59090,185876,363
363,375637.293912,10127586.686806 77872,319,122373
364,-445258.153614,10897085.275660 113547,76464,388
388,-459131.754555,10894824.174452 2760,38017,364
389,-293521.442215,10806376.183497 94515,85268,398
398,-297077.878964,10809742.730097 389
399,-195404.006469,10918608.801397 401,48831
401,-196363.610393,10918608.677274 186287,85109,165129
402,-421290.226626,11213507.385362 413,7073,43414,93821
413,-424425.486164,11217550.323647 402,85913,111417
414,550416.171813,10704405.519903 426,54301,122818
426,550660.020908,10711397.441314 13655,414,69106,55071
427,-41559.526380,11421676.948613 430,20324,53744,115068
430,-44828.457969,11421378.688738 427,46334,121241
431,257033.269658,10891863.182627 434,157011,3981,119033
434,260096.334833,10891845.837183 431,107729,157011,119033
435,128040.872444,9750799.157632 25246,437,6497
437,130540.288719,9751576.064711 435,103872,53768,66865
438,193261.415274,10160826.126727 441,32904,205849,66151
441,193141.098132,10155400.823653 53902,438,59494
442,107791.847394,11804849.495786 43169,11060,459,164942
459,110234.985361,11801074.071011 170797,442,43525,90897
460,-527837.125904,11665577.309907 464,56505,76046,16678
464,-531942.271537,11665572.312511 91662,460,101927
465,98726.336727,11557766.083273 27072,467,46325
467,98634.053936,11567976.035804 465,94124,5434,2609
468,522488.434649,10543322.172048 471,90426,47281,63277
471,522584.249527,10549115.770766 468,10122,2
472,-539685.906781,11580457.136011 89348,475,35995,46355
475,-539662.781293,11598504.696926 472,9685,15937,85105
476,221106.105062,10190464.465128 478,60108,91762,91542
478,221090.391605,10181770.029179 476,2735,22650,22657
479,-260680.415403,12133813.560282 480,481,179968
480,-263120.871175,12134421.543554 479,50628,22534
481,-262221.031138,12102023.858803 479,487,29099
487,-268933.512204,12101952.539813 108748,481,38597
488,-4844.247583,12125238.112208 72871,218159,72873,495
495,-11113.612231,12144593.797217 32458,488,10860
496,123700.470296,10410177.479989 59364,66147,500
500,127574.516497,10410613.325074 496
501,55232.722929,11036340.763944 506
506,63910.164608,11036364.982805 83966,501,17660
507,-150549.093445,10656978.685529 87159,537,534
534,-161341.692909,10651229.595120 537,507
537,-161455.607187,10656860.031989 534,507,123786
538,-126860.316038,10481042.549427 543,9633,188904
543,-133422.796794,10485232.329015 62845,25224
544,115344.717427,9521633.565253 81115,73784,109164
552,-139897.267158,11097079.146192 556,108242
556,-140233.395859,11106009.500658 36945,60481
557,142077.554014,10463688.324090 150961,562
562,151280.416627,10463701.335509 39440,6326,90574,190245
563,241362.364393,11348142.614063 61369,5358,101923,569
569,241343.518311,11368952.071158 82559,53839,115124,563
570,-380025.152913,11637442.133663 573,21828,22612,18583
573,-382814.064015,11637471.976380 130042,570,62054
574,199719.933268,10610730.122762 586,9313,166015
586,202172.978154,10617576.308820 79180,141562
587,-71759.072337,11449941.915548 118970,591,103136
591,-71903.205585,11461151.599447 205184,233295,587,39715
592,90060.541891,10621424.739605 119375,596
596,97896.946033,10621366.226091 16883,105110
597,485552.339865,10544556.394082 53462,68047,613
613,485667.238464,10556651.194450 8232,132345
614,-452352.414847,11447525.059682 23838,621,132840
621,-446139.053279,11470072.834182 75317,94433,614
622,133494.433213,10702191.976795 624,143734
624,138990.791871,10702181.271611 12140,23320,16558
625,-488548.036561,10858955.736284 627,52310,57840
627,-488950.624442,10860315.528984 625,44818,6706
628,-216349.953008,10931743.382675 630,33269,86976,12948
630,-217287.796114,10937147.803292 44152,628,12948,41601
631,-395824.864054,10938286.862018 74932,116410,31700,639
639,-404750.148813,10937627.305276 631,173231,72020
640,8057.490338,10831581.913575 644,81082,28078,7074
644,3163.999874,10831603.418685 640,7077,201333
645,212323.056264,10220043.488956 647,122319
647,213564.338424,10217713.865372 645,228936,13296
648,-513202.735383,11665613.231730 650,94140,84445,45479
650,-516629.639326,11665533.999267 648,22658,67758,69505
651,-344174.339763,10835592.409331 51449,662
662,-355369.099614,10834842.469027 74381,19635
663,-143370.678829,10820191.417490 664,70359,21043
664,-143354.418740,10827314.942649 3384,80990
665,-146299.939435,10599047.633056 668,20729,186199
668,-146601.121241,10615876.411272 88327,665,87159,20164
669,356690.836306,10456288.219922 43,130791,28895,43646
671,-534058.623251,10980264.646614 673,44864,236355
673,-535570.274467,10984218.793534 671,129727,1527
674,79980.157522,10744937.727216 677,19866,11133,3416
677,79978.362172,10752186.859865 97382,674,65635
678,-135765.037091,10404382.303822 684,48408
684,-137944.443955,10408554.836194 24870
685,-71784.632188,12030287.422768 688,28089,3514,112432
688,-71802.111688,12039024.528831 685,73846,68916,21352
689,200529.070524,10756990.121490 58238,79467,695
695,204060.151295,10756340.536905 16987,59999,140666
